National Code,National Title,Specialisations,NRT Type,Usage Recommendation,Usage Recommendation Start Date,NRT Status,Currency Period Start Date,Currency Period End Date,Superseded by,Is Equivalent,Supersedes,Is Equivalent,Latest Release Number,Latest Release Date,Parent Training Package Code,Parent Training Package Title,Is Confidential,Training Package Developer,Copyright Holder,Copyright Holder Job Title,Copyright Holder Group Name,Copyright Holder Organisation,Copyright Holder Email,Recognition Manager,ANZSCO Code,ANZSCO Name,ASCO Code,ASCO Name,ASCED6 Code,ASCED6 Name,ASCED4 Code,ASCED4 Name,Taxonomy (Industry),Taxonomy (Occupation),Qualification Level Code,Qualification Level Name,Licencing,Has Work Placement Hours,Work Placement Hours,Pre-requisite
MSS11,Sustainability Training Package,,Training package,Superseded,22/06/2016,Superseded,06/02/2013,,MSS,True,,,3.0,13/12/2013,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMA08,"Chemical, Hydrocarbons and Refining Training Package",,Training package,Superseded,02/06/2016,Superseded,27/08/2008,,PMA,True,PMA02,False,5.0,13/12/2013,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMB07,"Plastics, Rubber and Cablemaking Training Package",,Training package,Superseded,22/06/2016,Superseded,16/11/2007,,PMB,True,PMB01,False,2.0,06/07/2013,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
PMC10,Manufactured Mineral Products,,Training package,Superseded,22/06/2016,Superseded,30/04/2010,,PMC,True,PMC04,False,1.1,29/04/2014,,,False,Manufacturing Industry Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
SIT12,"Tourism, Travel and  Hospitality Training Package",,Training package,Superseded,03/03/2016,Superseded,18/01/2013,,SIT,True,SIT07,False,2.0,11/10/2013,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
UEE07,Electrotechnology Training Package,,Training package,Superseded,16/03/2012,Superseded,08/03/2008,15/03/2012,UEE11,True,UEE06,False,4.0,29/07/2011,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UEG11,Gas Industry Training Package,,Training package,Superseded,05/09/2018,Superseded,19/01/2012,,UEG,True,UEG06,False,2.0,13/03/2014,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UEP06,Electricity Supply Industry - Generation Sector Training Package,,Training package,Superseded,25/07/2012,Superseded,07/11/2006,24/07/2012,UEP12,True,UTP98,False,1.1,07/11/2006,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UEP12,Electricity Supply Industry - Generation Sector Training Package,,Training package,Superseded,31/10/2018,Superseded,25/07/2012,,UEP,True,UEP06,True,2.1,07/09/2013,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
UET12,"Transmission, Distribution and Rail Sector Training Package",,Training package,Superseded,25/09/2019,Superseded,01/05/2012,,UET,True,UET09,False,2.1,05/11/2014,,,False,Powering Skills Organisation,,,,,,,,,,,,,,,,,,,,False,,False
WRH06,Hairdressing Training Package,,Training package,Superseded,20/07/2011,Superseded,27/01/2006,19/07/2011,SIH11,True,WRH00,False,2.2,18/04/2011,,,False,Service and Creative Skills Australia,,,,,,,,,,,,,,,,,,,,False,,False
ACM10,Animal Care and Management,,Training package,Superseded,10/09/2019,Superseded,07/12/2012,,ACM,False,RUV04,False,3.0,07/12/2012,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AGF07,Agri-Food Training Package,,Training package,Superseded,26/06/2016,Superseded,04/04/2007,,AHC,False,AGR05,False,1.0,04/04/2007,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AGR05,Conditionally Endorsed Agri-Food Qualifications Training Package (Superseded by AGF07),,Training package,Superseded,29/05/2007,Superseded,17/04/2005,28/05/2007,AGF07,False,,,1.0,17/04/2005,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AHC10,"Agriculture, Horticulture and Conservation and Land Management",,Training package,Superseded,27/06/2016,Superseded,10/06/2011,,AHC,False,RTE03;RTF03;RTD02,False;False;False,8.0,18/12/2013,,,False,Skills Insight,,,,,,,,,,,,,,,,,,,,False,,False
AUM00,Automotive Industry Manufacturing Training Package (Superseded by AUM08),,Training package,Superseded,06/10/2008,Superseded,06/08/2000,05/10/2008,AUM08,False,,,1.0,06/08/2000,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
AUM12,Automotive Manufacturing,,Training package,Superseded,10/01/2014,Superseded,29/06/2012,,AUM,False,AUM08,True,1.0,29/06/2012,,,False,Mining and Automotive Skills Alliance,,,,,,,,,,,,,,,,,,,,False,,False
